ISO3,Year,SWIID_gini_disp
CHL,2023,43.5
CHL,2024,43.4
CHN,1978,28.4
CHN,1979,28.2
CHN,1980,28
CHN,1981,27.6
CHN,1982,27
CHN,1983,26.9
CHN,1984,27.1
CHN,1985,28.1
CHN,1986,29.2
CHN,1987,30
CHN,1988,31.2
CHN,1989,32
CHN,1990,32.6
CHN,1991,33.2
CHN,1992,34.2
CHN,1993,35.1
CHN,1994,35.8
CHN,1995,36.2
CHN,1996,36.2
CHN,1997,36.6
CHN,1998,37.2
CHN,1999,38
CHN,2000,39
CHN,2001,40.1
CHN,2002,41.2
CHN,2003,41.7
CHN,2004,42.2
CHN,2005,42.5
CHN,2006,42.8
CHN,2007,43.1
CHN,2008,43.3
CHN,2009,43.2
CHN,2010,43.1
CHN,2011,43
CHN,2012,42.1
CHN,2013,41.2
CHN,2014,41.6
CHN,2015,41.5
CHN,2016,41.5
CHN,2017,41.4
CHN,2018,41.3
CHN,2019,41.1
CHN,2020,41
CHN,2021,40.8
CHN,2022,40.8
CHN,2023,40.8
COL,1970,41.1
COL,1971,42.7
COL,1972,44
COL,1973,44.4
COL,1974,44.8
COL,1975,45.3
COL,1976,45.8
COL,1977,46.3
COL,1978,46.8
COL,1979,47.1
COL,1980,47.3
COL,1981,47.6
COL,1982,47.8
COL,1983,48.1
COL,1984,48.3
COL,1985,48.6
COL,1986,48.8
COL,1987,49.1
COL,1988,49.3
COL,1989,49.5
COL,1990,49.8
COL,1991,50
COL,1992,50.2
COL,1993,50.6
COL,1994,51
COL,1995,51.2
COL,1996,51.4
COL,1997,51.5
COL,1998,51.6
COL,1999,51.6
COL,2000,51.6
COL,2001,51.4
COL,2002,51.8
COL,2003,50.9
COL,2004,51.2
COL,2005,51.3
COL,2006,51.5
COL,2007,53.3
COL,2008,52.5
COL,2009,51.3
COL,2010,50.9
COL,2011,50
COL,2012,49.2
COL,2013,49
COL,2014,48.6
COL,2015,47.4
COL,2016,46.9
COL,2017,46.3
COL,2018,46.7
COL,2019,48
COL,2020,49.4
COL,2021,49.2
COL,2022,51.1
COL,2023,50.9
COL,2024,50.9
COM,2004,50.2
COM,2005,50
COM,2006,49.5
COM,2007,49
COM,2008,48.5
COM,2009,48
COM,2010,47.5
