sd_mult_shock,policy_component,ISO3,first_treat_year
1.5,heritage_Property.Rights,LVA,2017
1.5,heritage_Property.Rights,MAR,2017
1.5,heritage_Property.Rights,MDA,2017
1.5,heritage_Property.Rights,MDG,1996
1.5,heritage_Property.Rights,MDV,2017
1.5,heritage_Property.Rights,MKD,2017
1.5,heritage_Property.Rights,MLI,1996
1.5,heritage_Property.Rights,MLT,1998
1.5,heritage_Property.Rights,MMR,2017
1.5,heritage_Property.Rights,MNE,2017
1.5,heritage_Property.Rights,MNG,2017
1.5,heritage_Property.Rights,MOZ,2017
1.5,heritage_Property.Rights,MRT,2022
1.5,heritage_Property.Rights,MWI,2009
1.5,heritage_Property.Rights,MYS,2017
1.5,heritage_Property.Rights,NAM,2017
1.5,heritage_Property.Rights,NER,1997
1.5,heritage_Property.Rights,NIC,2017
1.5,heritage_Property.Rights,NOR,2022
1.5,heritage_Property.Rights,NPL,1997
1.5,heritage_Property.Rights,PAN,2010
1.5,heritage_Property.Rights,PER,1999
1.5,heritage_Property.Rights,PHL,1996
1.5,heritage_Property.Rights,PNG,2017
1.5,heritage_Property.Rights,POL,1996
1.5,heritage_Property.Rights,PRK,2017
1.5,heritage_Property.Rights,PRT,2022
1.5,heritage_Property.Rights,QAT,2010
1.5,heritage_Property.Rights,ROU,2017
1.5,heritage_Property.Rights,RUS,2017
1.5,heritage_Property.Rights,RWA,2002
1.5,heritage_Property.Rights,SAU,2017
1.5,heritage_Property.Rights,SLB,2017
1.5,heritage_Property.Rights,SLE,2017
1.5,heritage_Property.Rights,SLV,1999
1.5,heritage_Property.Rights,SOM,2018
1.5,heritage_Property.Rights,STP,2017
1.5,heritage_Property.Rights,SUR,2017
1.5,heritage_Property.Rights,SVK,2017
1.5,heritage_Property.Rights,SVN,1997
1.5,heritage_Property.Rights,SWE,2001
1.5,heritage_Property.Rights,SWZ,2017
1.5,heritage_Property.Rights,SYC,2020
1.5,heritage_Property.Rights,SYR,2017
1.5,heritage_Property.Rights,TCD,2017
1.5,heritage_Property.Rights,THA,2017
1.5,heritage_Property.Rights,TJK,2017
1.5,heritage_Property.Rights,TKM,2017
1.5,heritage_Property.Rights,TLS,2018
1.5,heritage_Property.Rights,TON,2017
1.5,heritage_Property.Rights,TUN,2017
1.5,heritage_Property.Rights,TUR,2017
1.5,heritage_Property.Rights,UGA,1996
1.5,heritage_Property.Rights,UKR,1997
1.5,heritage_Property.Rights,URY,1997
1.5,heritage_Property.Rights,USA,2022
1.5,heritage_Property.Rights,UZB,2017
1.5,heritage_Property.Rights,VCT,2020
1.5,heritage_Property.Rights,VNM,2017
1.5,heritage_Property.Rights,VUT,2017
1.5,heritage_Property.Rights,WSM,2022
1.5,heritage_Property.Rights,XKX,2017
1.5,heritage_Property.Rights,ZAF,2017
1.5,heritage_Property.Rights,ZMB,2017
1.5,heritage_Property.Rights,ZWE,2017
1.5,heritage_Government.Integrity,AFG,2017
1.5,heritage_Government.Integrity,ALB,2001
1.5,heritage_Government.Integrity,ARE,2006
1.5,heritage_Government.Integrity,ARG,1996
1.5,heritage_Government.Integrity,ARM,2015
