ISO3,Year,Heritage_Score,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom,fraser_Score,Size_of_Government,Legal_System_and_Property,Sound_Money,Free_Trade,Regulation,Access to clean fuels and technologies for cooking (% of population),"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)","Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),"Children in employment, work only (% of children in employment, ages 7-14)",Consumer price index (2010 = 100),Coverage of social insurance programs (% of population),Coverage of social insurance programs in poorest quintile (% of population),Coverage of social safety net programs (% of population),Coverage of social safety net programs in poorest quintile (% of population),Coverage of unemployment benefits and ALMP in poorest quintile (% of population),"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",Exports of goods and services (constant 2015 US$),GDP (constant 2015 US$),GDP growth (annual %),GDP per capita (constant 2015 US$),GDP per capita growth (annual %),GNI (constant 2015 US$),GNI growth (annual %),GNI per capita (constant 2015 US$),GNI per capita growth (annual %),Gini index,Income share held by highest 10%,Income share held by lowest 10%,Marine protected areas (% of territorial waters),Poverty gap at $3.65 a day (2017 PPP) (%),Poverty gap at $6.85 a day (2017 PPP) (%),Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),Poverty headcount ratio at national poverty lines (% of population),Poverty headcount ratio at societal poverty line (% of population),Proportion of people living below 50 percent of median income (%),Proportion of population pushed below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),Proportion of population pushed below the 60% median consumption poverty line by out-of-pocket health expenditure (%),Proportion of population pushed further below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),Proportion of population pushed further below the 60% median consumption poverty line by out-of-pocket health care expenditure (%),Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%),Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%),Prosperity gap (average shortfall from a prosperity standard of $25/day),"School enrollment, primary (% net)","Survey mean consumption or income per capita, total population (2017 PPP $ per day)","Unemployment, total (% of total labor force) (modeled ILO estimate)"
MYS,1988,,,,,,,,,,,,,,,,,,,,,,,47.9098,2.852350222,,53.84951808,,,,,,,30780853656.0,62773281162.0,9.937719677,3737.260069,6.535061672,,10.50064431,,,,,,,,,,,,,,,,,,,,,,,
MYS,1989,,,,,,,,,,,,,,,,,,,,,,,56.6283,3.270477032,,55.36441321,,,,,,,35457633411.0,68460289887.0,9.059600867,3953.814713,5.794476153,,9.073059898,,,46.2,36.4,2.1,,3.0,14.4,14.0,39.9,,28.3,18.6,,,,,,,3.7,,,
MYS,1991,,,,,,,,,,,,,,,,,,,,,,,75.3034,4.105413537,,59.28987571,,,,,,,48364081445.0,81751102498.0,9.545467414,4456.931331,6.503850992,,8.471419501,,,,,,,,,,,,,,,,,,,,,,,3.702
MYS,1992,,,,,,,,,,,,,,,,,,,,,,,79.2844,4.209514291,,62.11635944,,,,,,,54455921351.0,89014784404.0,8.885117978,4726.137892,6.040177428,,8.921029401,,,47.7,37.0,1.9,,3.0,13.6,13.5,37.1,,29.0,20.4,,,,,,,3.6,,,3.71
MYS,1993,,,,,,,,,,,,,,,,,,,,,,,79.4983,4.114251534,,64.31315752,,,,,,,60741515670.0,97822746879.0,9.894943334,5062.591104,7.118988492,,10.15553701,,,,,,,,,,,,,,,,,,,,,,,4.11
MYS,1994,,,,,,,,,,,,,,,,,,,,,,,87.5645,4.417887468,,66.7088037,,,,,,,74047992162.0,106834000000.0,9.212041793,5390.101676,6.469228206,,9.370917405,,,,,,,,,,,,,,,,,,,,,97.25382,,3.64
MDV,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDV,1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDV,1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDV,1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDV,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDV,1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDV,1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDV,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDV,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDV,1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDV,1970,,,,,,,,,,,,,,,,,,,,,,,0.0099,0.080344752,,,,,,,,,,188293031.1,,1528.116858,,,,,,,,,,,,,,,,,,,,,,,,,,
MDV,1971,,,,,,,,,,,,,,,,,,,,,,,0.0099,0.077931279,,,,,,,,,,198097875.5,5.207226367,1559.396036,2.04691011,,,,,,,,,,,,,,,,,,,,,,,,,
MDV,1972,,,,,,,,,,,,,,,,,,,,,,,0.0106,0.080935801,,,,,,,,,,202900248.2,2.424242418,1549.235296,-0.651581795,,,,,,,,,,,,,,,,,,,,,,,,,
MDV,1973,,,,,,,,,,,,,,,,,,,,,,,0.0126,0.09336653,,,,,,,,,,206101830.1,1.577909286,1527.223236,-1.420833901,,,,,,,,,,,,,,,,,,,,,,,,,
MDV,1974,,,,,,,,,,,,,,,,,,,,,,,0.0154,0.110808905,,,,,,,,,,217907663.0,5.728155315,1567.92919,2.665357222,,,,,,,,,,,,,,,,,,,,,,,,,
MDV,1975,,,,,,,,,,,,,,,,,,,,,,,0.0129,0.090110228,,,,,,,,,,200499061.9,-7.988980692,1400.543888,-10.67556517,,,,,,,,,,,,,,,,,,,,,,,,,
MDV,1976,,,,,,,,,,,,,,,,,,,,,,,0.0128,0.086764955,,,,,,,,,,201699655.1,0.598802386,1367.223556,-2.379099462,,,,,,,,,,,,,,,,,,,,,,,,,
MDV,1977,,,,,,,,,,,,,,,,,,,,,,,0.0135,0.08885671,,,,,,,,,,224395614.3,11.25235403,1476.967119,8.026746055,,,,,,,,,,,,,,,,,,,,,,,,,
MDV,1978,,,,,,,,,,,,,,,,,,,,,,,0.0134,0.085809976,,,,,,,,,,257347488.4,14.68472285,1647.983711,11.57890318,,,,,,,,,,,,,,,,,,,,,,,,,
MDV,1979,,,,,,,,,,,,,,,,,,,,,,,0.0144,0.089797955,,,,,,,,,,284791556.3,10.66420662,1775.951336,7.76510253,,,,,,,,,,,,,,,,,,,,,,,,,
MDV,1980,,,,,,,,,,,,,,,,,,,,,,,0.0155,0.094033427,,,,,,,,,,337685486.5,18.57285761,2048.627333,15.35379893,,,,,,,,,,,,,,,,,,,,,,,,,
MDV,1981,,,,,,,,,,,,,,,,,,,,,,,0.0154,0.090838308,,,,,,,,,,377413190.8,11.76470589,2226.206208,8.668188278,,,,,,,,,,,,,,,,,,,,,,,,,
MDV,1982,,,,,,,,,,,,,,,,,,,,,,,0.0152,0.087189459,,,,,,,,,,366044706.6,-3.012211664,2099.686844,-5.683182574,,,,,,,,,,,,,,,,,,,,,,,,,
MDV,1983,,,,,,,,,,,,,,,,,,,,,,,0.0151,0.084297262,,,,,,,,,,425550015.7,16.25629546,2375.675582,13.14428094,,,,,,,,,,,,,,,,,,,,,,,,,
MDV,1984,,,,,,,,,,,,,,,,,,,,,,,0.0513,0.278504653,,,,,,,,,,540259045.1,26.95547533,2933.034263,23.4610603,,,,,,,,,,,,,,,,,,,,,,,,,
MDV,1985,,,,,,,,,,,,,,,,,,,,,,,0.0567,0.298155851,,24.80352035,,,,,,,,623545615.0,15.41604359,3278.902529,11.7921659,,,,,,,,,,,,,,,,,,,,,,,,,
MDV,1986,,,,,,,,,,,,,,,,,,,,,,,0.0567,0.287912255,,27.21496654,,,,,,,,681913157.9,9.360589095,3462.630603,5.603340532,,,,,,,,,,,,,,,,,,,,,,,,,
MDV,1987,,,,,,,,,,,,,,,,,,,,,,,0.0645,0.316263288,,29.85592658,,,,,,,,742120332.3,8.829155697,3638.843664,5.088993925,,,,,,,,,,,,,,,,,,,,,,,,,
MDV,1988,,,,,,,,,,,,,,,,,,,,,,,0.0788,0.373663371,,31.78353276,,,,,,,,806909973.7,8.730341781,3826.303311,5.151626831,,,,,,,,,,,,,,,,,,,,,,,,,
MDV,1989,,,,,,,,,,,,,,,,,,,,,,,0.076,0.349043346,,34.06109587,,,,,,,,882168920.4,9.326808333,4051.515677,5.885899454,,,,,,,,,,,,,,,,,,,,,,,,,
MDV,1990,,,,,,,,,,,,,,,,,,,,,,,0.0952,0.423559143,,35.30429589,,,,,,,,1031716820.0,16.95229745,4590.263567,13.2974406,,,,,,,,,,,,,,,,,,,,,,,,,
MDV,1991,,,,,,,,,,,,,,,,,,,,,,,0.0988,0.426225831,,40.49885596,,,,,,,,1046601358.0,1.44269606,4515.066124,-1.638194443,,,,,,,,,,,,,,,,,,,,,,,,,0.799
MDV,1992,,,,,,,,,,,,,,,,,,,,,,,0.1084,0.454425408,,47.32534221,,,,,,,,1116418306.0,6.670825315,4680.155385,3.656408487,,,,,,,,,,,,,,,,,,,,,,,,,0.805
MDV,1993,,,,,,,,,,,,,,,,,,,,,,,0.1281,0.523104817,,56.85068389,,,,,,,,1178455092.0,5.556768951,4812.299259,2.82349331,,,,,,,,,,,,,,,,,,,,,,,,,0.792
MDV,1994,,,,,,,,,,,,,,,,,,,,,,,0.2754,1.09798981,,58.77570545,,,,,,,,1269779307.0,7.749486245,5062.471821,5.198607736,,,,,,,,,,,,,,,,,,,,,,,,,0.791
MLI,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLI,1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLI,1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLI,1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLI,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLI,1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLI,1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLI,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276123924.4,2003673127.0,,334.4524395,,,,,,,,,,,,,,,,,,,,,,,,,,
MLI,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257357441.6,2077977545.0,3.708410196,341.6052472,2.138662142,,3.34049466,,1.776315437,,,,,,,,,,,,,,,,,,,,,
MLI,1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292215557.7,2082777661.0,0.23099942,337.1442952,-1.305879236,,0.006016232,,-1.527412674,,,,,,,,,,,,,,,,,,,,,
MLI,1971,,,,,,,,,,,,,,,,,,,,,,,0.2456,0.038507707,,,,,,,,,393793914.9,2267386930.0,2.568996024,355.5043647,0.937140811,,3.84923432,,2.197010734,,,,,,,,,,,,,,,,,,,17.0148,,
MLI,1972,,,,,,,,,,,,,,,,,,,,,,,0.248,0.038249611,,,,,,,,,354130138.2,2399893395.0,5.844016431,370.1410878,4.117171135,,6.068616492,,4.338106845,,,,,,,,,,,,,,,,,,,17.69783,,
MLI,1973,,,,,,,,,,,,,,,,,,,,,,,0.2588,0.039229323,,,,,,,,,322967883.4,2364972167.0,-1.455115802,358.486307,-3.148740093,,-1.690202752,,-3.379786762,,,,,,,,,,,,,,,,,,,18.06894,,
MLI,1974,,,,,,,,,,,,,,,,,,,,,,,0.2733,0.040697283,,,,,,,,,354130138.2,2328815855.0,-1.528826102,346.7855035,-3.263947099,,-1.95288769,,-3.680536469,,,,,,,,,,,,,,,,,,,20.54241,,
MLI,1976,,,,,,,,,,,,,,,,,,,,,,,0.2906,0.041747001,,,,,,,,0.75999999,416462151.7,2953688827.0,13.62343853,424.3208933,11.60400067,,14.10905508,,12.08098632,,,,,,,,,,,,,,,,,,,,,
MLI,1977,,,,,,,,,,,,,,,,,,,,,,,0.2985,0.042095739,,,,,,,,,515609330.9,3141208110.0,6.348647194,442.9865199,4.398941217,,7.26448309,,5.297986954,,,,,,,,,,,,,,,,,,,20.67197,,
MLI,1978,,,,,,,,,,,,,,,,,,,,,,,0.3026,0.041855409,,,,,,,,,492950532.3,3095237273.0,-1.463476332,428.1309392,-3.353506267,,-0.632028734,,-2.538006673,,,,,,,,,,,,,,,,,,,,,
MLI,1979,,,,,,,,,,,,,,,,,,,,,,,0.3415,0.046303415,,,,,,,,,546778181.3,3417008149.0,10.39567721,463.3064284,8.216058667,,8.556846033,,6.413532811,,,,,,,,,,,,,,,,,,,,,
MLI,1981,,,,,,,,,,,,,,,,,,,,,,,0.4237,0.055077718,,,,,,,,,539283416.8,3318519585.0,1.508804297,431.3818443,-0.632155796,,,,,,,,,,,,,,,,,,,,,,,,,
MLI,1982,,,,,,,,,,,,,,,,,,,,,,,0.3021,0.038434166,,,,,,,,,482391226.2,3073664839.0,-7.378433046,391.0418546,-9.351341566,,,,,,,,,,,,,,,,,,,,,,,,,
MLI,1983,,,,,,,,,,,,,,,,,,,,,,,0.3252,0.040475953,,,,,,,,,548459799.0,3129632396.0,1.820873772,389.5290745,-0.386858869,,,,,,,,,,,,,,,,,,,,,,,,,
MLI,1984,,,,,,,,,,,,,,,,,,,,,,,0.3174,0.038666769,,,,,,,,,596026322.3,3120650002.0,-0.287011156,380.1684066,-2.403072977,,,,,,,,,,,,,,,,,,,,,,,,,
MLI,1986,,,,,,,,,,,,,,,,,,,,,,,0.2757,0.032316381,,,,,,,,,589557417.0,3854798456.0,2.692620881,451.8430776,0.807428063,,3.231140329,,1.336061572,,,,,,,,,,,,,,,,,,,,,
MLI,1987,,,,,,,,,,,,,,,,,,,,,,,0.4358,0.050200641,,,,,,,,,585792559.5,3849433953.0,-0.139164289,443.4237106,-1.86333873,,0.197170274,,-1.532811242,,,,,,,,,,,,,,,,,,,,,
MLI,1988,,,,,,,,,,,,,,,,,,,,,,,0.2389,0.027043254,,52.59406199,,,,,,,629574034.4,4133896384.0,7.389721044,467.9531645,5.531831835,,7.160806993,,5.306878096,,,,,,,,,,,,,,,,,,,,,
MLI,1989,,,,,,,,,,,,,,,,,,,,,,,0.4027,0.044744753,,52.55372603,,,,,,,699481699.3,4306585280.0,4.177388109,478.5127719,2.256552195,,,,,,,,,,,,,,,,,,,,,,,,,
MLI,1991,,,,,,,,,,,,,,,,,,,,,,,0.3967,0.042369406,,53.82430886,,,,,,,792675425.2,4691977173.0,11.74520379,501.1249919,9.548488558,4697811390.0,12.32693037,501.7481134,10.1187794,,,,,,,,,,,,,,,,,,,,,1.405
MLI,1992,,,,,,,,,,,,,,,,,,,,,,,0.3623,0.037923115,,50.46432315,,,,,,,859869953.3,4540958264.0,-3.21866249,475.3168212,-5.150046622,4539527873.0,-3.369303357,475.1670976,-5.297681275,,,,,,,,,,,,,,,,,,,,,1.483
MLI,1993,,,,,,,,,,,,,,,,,,,,,,,0.3534,0.03622837,,50.33121447,,,,,,,895866769.2,4685005097.0,3.172168177,480.2775885,1.043675952,4699200158.0,3.517376455,481.7327779,1.381762415,,,,,,,,,,,,,,,,,,,,,1.423
MLI,1994,,,,,,,,,,,,,,,,,,,,,,,0.3529,0.035406732,,61.99637494,,,,,,,957765119.2,4862095199.0,3.779934051,487.8178065,1.569970813,4821445394.0,2.601405167,483.7393797,0.416538355,50.2,40.4,1.9,,67.1,80.7,93.4,98.0,,84.5,15.9,0.41,1.61,73.66,16.4,7.02,0.88,35.7,,,1.509
MLT,1960,,,,,,,,,,,,,,,,,,,,,,,,,,20.9007827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLT,1961,,,,,,,,,,,,,,,,,,,,,,,,,,21.42566855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLT,1962,,,,,,,,,,,,,,,,,,,,,,,,,,21.46180823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLT,1963,,,,,,,,,,,,,,,,,,,,,,,,,,21.86450755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLT,1964,,,,,,,,,,,,,,,,,,,,,,,,,,22.34120716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLT,1965,,,,,,,,,,,,,,,,,,,,,,,,,,22.6991621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLT,1966,,,,,,,,,,,,,,,,,,,,,,,,,,22.81790677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLT,1967,,,,,,,,,,,,,,,,,,,,,,,,,,22.976233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLT,1968,,,,,,,,,,,,,,,,,,,,,,,,,,23.44432793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLT,1969,,,,,,,,,,,,,,,,,,,,,,,,,,23.99158597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLT,1971,,,,,,,,,,,,,,,,,,,,,,,0.6829,2.256029072,,25.46126636,,,,,,,,971541988.8,2.453993612,3209.587013,2.437070257,,,,,,,,,,,,,,,,,,,,,,,81.74528,,
MLT,1972,,,,,,,,,,,,,,,,,,,,,,,0.8561,2.830550504,,26.32001404,,,,,,,,1028263787.0,5.838327027,3399.781079,5.925811178,,,,,,,,,,,,,,,,,,,,,,,80.65459,,
MLT,1973,,,,,,,,,,,,,,,,,,,,,,,0.8222,2.720714758,,28.34383623,,,,,,,,1070897027.0,4.146138373,3543.669844,4.232295007,,,,,,,,,,,,,,,,,,,,,,,79.04926,,
MLT,1974,,,,,,,,,,,,,,,,,,,,,,,0.7528,2.492748248,,30.40035622,,,,,,,,1178376578.0,10.03640396,3901.960881,10.11073417,,,,,,,,,,,,,,,,,,,,,,,79.80385,,
MLT,1976,,,,,,,,,,,,,,,,,,,,,,,0.7647,2.500866653,,33.25545634,,,,,,,,1648616318.0,17.01708956,5391.617069,16.42315246,,,,,,,,,,,,,,,,,,,,,,,87.84803,,
MLT,1977,,,,,,,,,,,,,,,,,,,,,,,0.8089,2.635110923,,36.5944288,,,,,,,,1849486529.0,12.1841698,6024.974848,11.74708387,,,,,,,,,,,,,,,,,,,,,,,92.99412,,
MLT,1978,,,,,,,,,,,,,,,,,,,,,,,0.9424,3.038216273,,38.31711565,,,,,,,,2055910646.0,11.16115819,6628.078504,10.01006096,,,,,,,,,,,,,,,,,,,,,,,96.59267,,
MLT,1979,,,,,,,,,,,,,,,,,,,,,,,0.9187,2.93194018,,41.05568108,,,,,,,,2271591569.0,10.49077317,7249.559806,9.376492786,,,,,,,,,,,,,,,,,,,,,,,97.5818,,
MLT,1981,,,,,,,,,,,,,,,,,,,,,,,1.1556,3.622774953,,52.99035426,,,,,,,,2512265400.0,3.311762074,7875.884532,2.554855453,,,,,,,,,,,,,,,,,,,,,,,93.51677,,
MLT,1982,,,,,,,,,,,,,,,,,,,,,,,1.3229,4.059245531,,56.07345705,,,,,,,,2569656904.0,2.284452306,7884.850182,0.113836738,,,,,,,,,,,,,,,,,,,,,,,93.45978,,
MLT,1983,,,,,,,,,,,,,,,,,,,,,,,0.9808,2.967409326,,55.57945126,,,,,,,,2553920580.0,-0.612390117,7726.883916,-2.003414924,,,,,,,,,,,,,,,,,,,,,,,91.87235,,
MLT,1984,,,,,,,,,,,,,,,,,,,,,,,1.338,4.047272628,,55.33351219,,,,,,,,2577987985.0,0.942370935,7798.071904,0.921302662,,,,,,,,,,,,,,,,,,,,,,,93.0423,,
MLT,1986,,,,,,,,,,,,,,,,,,,,,,,1.8834,5.505069844,,56.32282642,,,,,,,,2747385325.0,3.885190007,8030.449241,2.163795699,,,,,,,,,,,,,,,,,,,,,,,95.96401,,
MLT,1987,,,,,,,,,,,,,,,,,,,,,,,1.9745,5.731744488,,56.56598652,,,,,,,,2860316996.0,4.110514452,8303.168485,3.396064603,,,,,,,,,,,,,,,,,,,,,,,94.78961,,
MLT,1988,,,,,,,,,,,,,,,,,,,,,,,2.1475,6.182969841,,57.09677028,,,,,,,,3100990826.0,8.414236296,8928.21083,7.527756972,,,,,,,,,,,,,,,,,,,,,,,94.60263,,
MLT,1989,,,,,,,,,,,,,,,,,,,,,,,2.3282,6.638306123,,57.58077467,,,,,,,,3354624140.0,8.179105581,9564.909359,7.13131154,,,,,,,,,,,,,,,,,,,,,,,95.16844,,
MLT,1991,,,,,,,,,,,,,,,,,,,,,,,2.2179,6.095727576,,60.80612873,,,,,,,,3788762938.0,6.256492082,10413.12355,3.431026401,,,,,,,,,,,,,,,,,,,,,,,95.92238,,6.353
MLT,1992,,,,,,,,,,,,,,,,,,,,,,,2.1757,5.918371788,,61.79922178,,,,,,,,3966491247.0,4.690932431,10789.70901,3.616450528,,,,,,,,,,,,,,,,,,,,,,,95.84772,,6.349
MLT,1993,,,,,,,,,,,,,,,,,,,,,,,2.8129,7.575651481,,64.36068801,,,,,,,,4144219778.0,4.480749359,11161.13786,3.442436246,,,,,,,,,,,,,,,,,,,,,,,96.16136,,6.346
MLT,1994,,,,,,,,,,,,,,,,,,,,,,,2.5151,6.710565986,,67.0187341,,,,,,,,4378413979.0,5.651104737,11682.09452,4.667594452,,,,,,,,,,,,,,,,,,,,,,,94.97511,,6.343
MHL,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MHL,1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MHL,1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MHL,1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MHL,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MHL,1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MHL,1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MHL,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MHL,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MHL,1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MHL,1970,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,45931280.0,,2038.671993,,,,,,,,,,,,,,,,,,,,,,,,,,
MHL,1971,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,46992252.0,2.309911677,2011.138064,-1.350581611,,,,,,,,,,,,,,,,,,,,,,,,,
MHL,1972,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,47500634.0,1.081842173,1979.853034,-1.555588354,,,,,,,,,,,,,,,,,,,,,,,,,
MHL,1973,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,63614160.0,33.92275985,2587.940279,30.71375674,,,,,,,,,,,,,,,,,,,,,,,,,
MHL,1974,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,73361848.0,15.32314189,2900.136306,12.06349426,,,,,,,,,,,,,,,,,,,,,,,,,
MHL,1975,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,73406056.0,0.060260205,2806.685631,-3.22228561,,,,,,,,,,,,,,,,,,,,,,,,,
MHL,1976,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,73671297.0,0.361333948,2726.445986,-2.858875391,,,,,,,,,,,,,,,,,,,,,,,,,
MHL,1977,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,75461688.0,2.430242269,2704.138465,-0.818190484,,,,,,,,,,,,,,,,,,,,,,,,,
MHL,1978,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,79705581.0,5.623904146,2766.690305,2.31318925,,,,,,,,,,,,,,,,,,,,,,,,,
MHL,1979,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,81407557.0,2.135328516,2737.492669,-1.055327217,,,,,,,,,,,,,,,,,,,,,,,,,
MHL,1980,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,75550102.0,-7.195222674,2454.99779,-10.31947527,,,,,,,,,,,,,,,,,,,,,,,,,
MHL,1981,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,80412894.0,6.436512819,2511.568667,2.304314754,,,,,,,,,,,,,,,,,,,,,,,,,
MHL,1982,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,84297825.0,4.831228932,2524.113693,0.499489676,,,,,,,,,,,,,,,,,,,,,,,,,
MHL,1983,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,97370735.0,15.50800391,2797.125478,10.81614451,,,,,,,,,,,,,,,,,,,,,,,,,
MHL,1984,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,101135112.0,3.866025043,2788.857048,-0.295604517,,,,,,,,,,,,,,,,,,,,,,,,,
MHL,1985,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,94806793.0,-6.257291731,2510.706629,-9.973634896,,,,,,,,,,,,,,,,,,,,,,,,,
MHL,1986,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,118074749.0,24.54249876,3005.517207,19.70802056,,,,,,,,,,,,,,,,,,,,,,,,,
MHL,1987,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,129130978.0,9.363753972,3162.804399,5.233282026,,,,,,,,,,,,,,,,,,,,,,,,,
MHL,1988,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,139189050.0,7.78904656,3288.888495,3.986465182,,,,,,,,,,,,,,,,,,,,,,,,,
MHL,1989,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,136834516.0,-1.691608643,3139.414399,-4.544821029,,,,,,,,,,,,,,,,,,,,,,,,,
MHL,1990,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,140496545.0,2.67624654,3148.099778,0.276656024,,,,,,,,,,,,,,,,,,,,,,,,,
